lemma,plural,stem_final,opportunity,ur,predicted_sr,attested_sr,category,normalisations,ipa_edit,feature_edit,rule_edit,total_distance,cluster
ferment,fermenți,t,i,fəmenTi,fəment͡sj,ferment͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
fermentescibilitate,fermentescibilitatăți,t,i,fermentest͡ʃibilitaTi,fermentest͡ʃibilitat͡sj,fermentest͡ʃibilitatət͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
fetus,fetuși,s,i,fitəSi,fitəʃj,fetuʃi,RULE_FAILURE,,3.0,0.0,2,1.2,
filimică,filimele,c,e,filimiKe,filimit͡ʃe,filimele,ICA_SUPPLETION,,4.0,6.0,0,3.8,
flamingo,flamingi,g,i,flaminɡoi,flaminɡoi,flamind͡ʒi,RULE_FAILURE,,3.0,2.0,1,1.9,
flatuozitate,flatuozitatăți,t,i,flatuozitaTi,flatuozitat͡sj,flatuozitatət͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
flașnetă,flașnete,t,e,flaʃnete,flaʃnete,flaʃnete,RULE_FAILURE,,0.0,0.0,1,0.3,
flexuozitate,flexuozitatăți,t,i,fleksuozitaTi,fleksuozitat͡sj,fleksuozitatət͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
flocoșică,flocoșele,c,e,flokoʃiKe,flokoʃit͡ʃe,flokoʃele,ICA_SUPPLETION,,4.0,6.0,0,3.8,
flămânzică,flămânzele,c,e,fləmɨnziKe,fləmɨnzit͡ʃe,fləmɨnzele,ICA_SUPPLETION,,4.0,6.0,0,3.8,
foca,foci,c,i,fokai,fokai,fot͡ʃi,RULE_FAILURE,,3.0,2.0,1,1.9,
foițică,foițele,c,e,foit͡siKe,foit͡sit͡ʃe,foit͡sele,ICA_SUPPLETION,,4.0,6.0,0,3.8,
folicică,folicicele,c,e,folit͡ʃiKe,folit͡ʃit͡ʃe,folit͡ʃit͡ʃele,ICA_SUPPLETION,,2.0,6.0,0,3.4,
folos,foloase,s,e,folose,folose,foloase,RULE_FAILURE,,1.0,0.0,0,0.2,
forceps,forcepsuri,s,uri,fosepsuri,fosepsurj,fort͡ʃepsuri,RULE_FAILURE,,5.0,0.0,0,1.0,
forfet,forfeturi,t,uri,furfeturi,furfeturj,forfeturi,RULE_FAILURE,,2.0,0.0,0,0.4,
fort,forturi,t,uri,foəturi,foəturj,forturi,RULE_FAILURE,,2.0,0.0,0,0.4,
fosfat,fosfați,t,i,fusfaTi,fusfat͡sj,fosfat͡si,RULE_FAILURE,,2.0,0.0,0,0.4,
foșnet,foșnete,t,e,foʃnete,foʃnete,foʃnete,RULE_FAILURE,,0.0,0.0,1,0.3,
franțuz,franțuji,z,i,frant͡suzi,frant͡suzj,frant͡suʒi,RULE_FAILURE,,2.0,2.0,0,1.4,
franțușcă,franțuște,c,e,,,frant͡suʃte,UR_BUILD_FAILED,,,,,,
frașcă,frăști,c,i,fraʃKi,fraʃtj,frəʃti,NORM_TRAILING_GLIDE,"TRAILING_GLIDE,UNSTRESSED_SCHWA",0.0,0.0,0,0.0,
frișcă,friști,c,i,friʃKi,friʃtj,friʃti,NORM_TRAILING_GLIDE,TRAILING_GLIDE,0.0,0.0,0,0.0,
frontogeneză,frontogeneze,z,e,frontoɡeneze,frontoɡeneze,frontod͡ʒeneze,RULE_FAILURE,,3.0,0.0,0,0.6,
frunticică,frunticicele,c,e,fruntit͡ʃiKe,fruntit͡ʃit͡ʃe,fruntit͡ʃit͡ʃele,ICA_SUPPLETION,,2.0,6.0,0,3.4,
frățânătate,frățânătatăți,t,i,frət͡sɨnətaTi,frət͡sɨnətat͡sj,frət͡sɨnətatət͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
fugozitate,fugozitatăți,t,i,fuɡozitaTi,fuɡozitat͡sj,fuɡozitatət͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
fungozitate,fungozitatăți,t,i,funɡozitaTi,funɡozitat͡sj,funɡozitatət͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
funicică,funicicele,c,e,funit͡ʃiKe,funit͡ʃit͡ʃe,funit͡ʃit͡ʃele,ICA_SUPPLETION,,2.0,6.0,0,3.4,
fărâmăturică,fărâmăturele,c,e,fərɨməturiKe,fərɨməturit͡ʃe,fərɨməturele,ICA_SUPPLETION,,4.0,6.0,0,3.8,
făt,feți,t,i,fəTi,fət͡sj,fet͡si,RULE_FAILURE,,2.0,0.0,0,0.4,
galet,galeți,t,i,ɡali,ɡalj,ɡalet͡si,RULE_FAILURE,,5.0,5.0,1,3.8,
